,CA,TX,FL
1986-02-01,,22574.0,
1986-02-08,75972.0,19638.0,
1986-02-15,54595.0,19819.0,7266.0
1986-02-22,68513.0,16404.0,7273.0
1986-03-01,65424.0,20129.0,7054.0
1986-03-08,66436.0,20292.0,7577.0
1986-03-15,70088.0,20395.0,7437.0
1986-03-22,69120.0,20286.0,7019.0
1986-03-29,56779.0,19945.0,6844.0
1986-04-05,57248.0,21189.0,8050.0
1986-04-12,54856.0,23558.0,8386.0
1986-04-19,51971.0,22023.0,7660.0
1986-04-26,51725.0,19051.0,7004.0
1986-05-03,52925.0,21091.0,7201.0
1986-05-10,57000.0,21851.0,7742.0
1986-05-17,48976.0,19106.0,7559.0
1986-05-24,46405.0,20386.0,7276.0
1986-05-31,38163.0,15409.0,5896.0
1986-06-07,52005.0,20577.0,8387.0
1986-06-14,49643.0,19206.0,8394.0
1986-06-21,56691.0,18876.0,8549.0
1986-06-28,54889.0,19220.0,8633.0
1986-07-05,47832.0,18829.0,9693.0
1986-07-12,51118.0,21523.0,11127.0
1986-07-19,50743.0,20243.0,4204.0
1986-07-26,52041.0,18719.0,7924.0
1986-08-02,50250.0,19096.0,7504.0
1986-08-09,52086.0,20362.0,7493.0
1986-08-16,45307.0,19656.0,6939.0
1986-08-23,47616.0,19137.0,7446.0
1986-08-30,43609.0,17780.0,6632.0
1986-09-06,58699.0,16817.0,6461.0
1986-09-13,47514.0,22886.0,7303.0
1986-09-20,50027.0,20139.0,7262.0
1986-09-27,50565.0,20422.0,6704.0
1986-10-04,49910.0,20998.0,7314.0
1986-10-11,51881.0,22144.0,7203.0
1986-10-18,45287.0,21537.0,6489.0
1986-10-25,55341.0,21203.0,6773.0
1986-11-01,53426.0,20246.0,6871.0
1986-11-08,58560.0,20720.0,7292.0
1986-11-15,48903.0,17562.0,6266.0
1986-11-22,66270.0,22964.0,6992.0
1986-11-29,43430.0,15751.0,4285.0
1986-12-06,60261.0,21918.0,7290.0
1986-12-13,60711.0,21855.0,6531.0
1986-12-20,60765.0,20353.0,6620.0
1986-12-27,54607.0,16523.0,4281.0
1987-01-03,44887.0,14289.0,6107.0
1987-01-10,68898.0,27361.0,9088.0
