date,unemployment benefits,file for unemployment,how to file unemployment,laid off,severance,isPartial
2018-01-01,2,1,0,2,2,False
2018-02-01,2,1,0,1,2,False
2018-03-01,2,1,0,1,2,False
2018-04-01,2,1,0,1,2,False
2018-05-01,2,1,0,1,2,False
2018-06-01,2,1,0,1,2,False
2018-07-01,2,1,0,1,2,False
2018-08-01,2,1,0,1,2,False
2018-09-01,2,1,0,1,2,False
2018-10-01,2,1,0,1,2,False
2018-11-01,2,1,0,1,2,False
2018-12-01,2,1,0,1,2,False
2019-01-01,3,2,1,2,3,False
2019-02-01,2,1,1,2,3,False
2019-03-01,2,1,0,1,2,False
2019-04-01,2,1,0,1,2,False
2019-05-01,2,1,0,1,2,False
2019-06-01,2,1,0,1,2,False
2019-07-01,2,1,0,1,3,False
2019-08-01,2,1,0,1,2,False
2019-09-01,2,1,0,1,2,False
2019-10-01,2,1,0,1,2,False
2019-11-01,2,1,0,1,2,False
2019-12-01,2,1,0,1,2,False
2020-01-01,2,1,1,2,3,False
2020-02-01,2,1,0,2,3,False
2020-03-01,39,22,8,12,4,False
2020-04-01,50,26,10,12,4,False
2020-05-01,27,11,4,6,4,False
2020-06-01,20,8,3,4,4,False
2020-07-01,29,8,3,4,3,False
2020-08-01,36,5,2,3,3,False
2020-09-01,19,3,1,2,2,False
2020-10-01,12,3,1,2,3,False
2020-11-01,9,2,1,2,2,False
2020-12-01,17,4,1,2,2,False
2021-01-01,21,4,2,2,2,False
2021-02-01,13,3,1,2,2,False
2021-03-01,14,3,2,1,2,False
2021-04-01,11,3,1,1,2,False
2021-05-01,9,2,1,1,2,False
2021-06-01,8,2,1,1,2,False
2021-07-01,7,1,1,1,2,False
2021-08-01,10,2,0,1,2,False
2021-09-01,8,1,0,1,2,False
2021-10-01,4,1,0,1,2,False
2021-11-01,4,1,0,1,2,False
2021-12-01,3,1,0,1,2,False
2022-01-01,4,1,1,1,2,False
2022-02-01,3,1,0,1,11,False
2022-03-01,3,1,0,1,14,False
2022-04-01,3,1,1,1,27,False
2022-05-01,2,1,0,1,13,False
2022-06-01,3,1,0,2,13,False
2022-07-01,3,1,0,2,12,False
2022-08-01,3,1,0,2,12,False
2022-09-01,2,1,0,2,10,False
2022-10-01,2,1,0,2,7,False
2022-11-01,3,1,0,4,8,False
2022-12-01,3,1,0,2,8,False
2023-01-01,4,2,1,4,12,False
2023-02-01,3,1,0,3,10,False
2023-03-01,4,1,0,3,9,False
2023-04-01,4,1,0,3,8,False
2023-05-01,4,1,0,3,7,False
2023-06-01,4,1,0,2,8,False
2023-07-01,3,1,0,3,7,False
2023-08-01,3,1,0,2,7,False
2023-09-01,3,1,0,2,6,False
2023-10-01,3,1,0,3,6,False
2023-11-01,3,1,0,2,6,False
2023-12-01,3,1,0,2,6,False
2024-01-01,3,1,0,4,8,False
2024-02-01,3,1,0,3,7,False
2024-03-01,3,1,0,3,7,False
2024-04-01,3,1,0,3,7,False
2024-05-01,3,1,0,3,7,False
2024-06-01,3,1,0,2,8,False
2024-07-01,3,1,0,2,8,False
2024-08-01,3,1,0,2,7,False
2024-09-01,3,1,0,2,6,False
2024-10-01,3,1,0,2,7,False
2024-11-01,3,1,0,2,7,False
2024-12-01,3,1,0,2,10,False
2025-01-01,3,1,0,3,62,False
2025-02-01,3,1,0,5,77,False
2025-03-01,3,1,0,4,100,False
2025-04-01,3,1,1,4,35,False
2025-05-01,3,1,0,3,16,False
2025-06-01,3,1,0,3,13,False
2025-07-01,4,1,0,3,13,False
2025-08-01,3,1,0,3,13,False
2025-09-01,3,1,0,2,14,False
2025-10-01,3,1,0,4,10,False
2025-11-01,4,1,0,3,11,False
2025-12-01,5,1,1,2,11,False
2026-01-01,5,2,1,3,12,False
2026-02-01,5,1,1,4,12,False
2026-03-01,5,1,0,4,10,False
2026-04-01,4,1,0,3,10,False
