date,unemployment benefits,severance,linkedin,jobs near me,indeed
2017-12-31,1.0,1.0,56.0,15.0,47.0
2018-01-07,1.0,1.0,65.0,16.0,49.0
2018-01-14,1.0,1.0,57.0,16.0,51.0
2018-01-21,1.0,1.0,71.0,17.0,49.0
2018-01-28,1.0,1.0,67.0,16.0,46.0
2018-02-04,1.0,1.0,66.0,15.0,46.0
2018-02-11,1.0,1.0,65.0,14.0,43.0
2018-02-18,1.0,1.0,61.0,14.0,44.0
2018-02-25,1.0,1.0,65.0,15.0,43.0
2018-03-04,1.0,1.0,66.0,14.0,47.0
2018-03-11,1.0,1.0,63.0,14.0,42.0
2018-03-18,1.0,1.0,68.0,14.0,47.0
2018-03-25,1.0,1.0,67.0,15.0,47.0
2018-04-01,1.0,1.0,69.0,15.0,49.0
2018-04-08,1.0,1.0,67.0,16.0,47.0
2018-04-15,1.0,1.0,67.0,15.0,46.0
2018-04-22,1.0,1.0,66.0,15.0,47.0
2018-04-29,1.0,1.0,64.0,17.0,46.0
2018-05-06,1.0,1.0,66.0,15.0,46.0
2018-05-13,1.0,1.0,65.0,17.0,48.0
2018-05-20,1.0,1.0,62.0,19.0,48.0
2018-05-27,1.0,1.0,54.0,18.0,48.0
2018-06-03,1.0,1.0,66.0,20.0,51.0
2018-06-10,1.0,1.0,66.0,22.0,50.0
2018-06-17,1.0,1.0,68.0,21.0,50.0
2018-06-24,1.0,1.0,66.0,20.0,51.0
2018-07-01,1.0,1.0,48.0,19.0,46.0
2018-07-08,1.0,1.0,62.0,21.0,51.0
2018-07-15,1.0,1.0,62.0,21.0,50.0
2018-07-22,1.0,1.0,66.0,20.0,51.0
2018-07-29,1.0,1.0,68.0,20.0,54.0
2018-08-05,1.0,1.0,67.0,20.0,51.0
2018-08-12,1.0,1.0,64.0,21.0,51.0
2018-08-19,1.0,1.0,62.0,22.0,50.0
2018-08-26,1.0,1.0,62.0,21.0,49.0
2018-09-02,1.0,1.0,58.0,21.0,45.0
2018-09-09,1.0,1.0,65.0,20.0,47.0
2018-09-16,1.0,1.0,64.0,19.0,46.0
2018-09-23,1.0,1.0,68.0,20.0,48.0
2018-09-30,1.0,1.0,61.0,20.0,46.0
2018-10-07,1.0,1.0,63.0,20.0,48.0
2018-10-14,1.0,1.0,63.0,19.0,46.0
2018-10-21,1.0,1.0,61.0,20.0,47.0
2018-10-28,1.0,1.0,63.0,18.0,45.0
2018-11-04,1.0,1.0,57.0,19.0,47.0
2018-11-11,1.0,1.0,58.0,19.0,43.0
2018-11-18,1.0,1.0,41.0,16.0,32.0
2018-11-25,1.0,1.0,57.0,20.0,43.0
2018-12-02,1.0,1.0,58.0,20.0,42.0
2018-12-09,1.0,1.0,56.0,19.0,43.0
2018-12-16,1.0,1.0,52.0,18.0,41.0
2018-12-23,1.0,1.0,28.0,16.0,37.0
2018-12-30,1.0,1.0,48.0,21.0,48.0
2019-01-06,1.0,1.0,64.0,24.0,56.0
2019-01-13,1.0,2.0,63.0,24.0,54.0
2019-01-20,1.0,1.0,61.0,23.0,53.0
2019-01-27,1.0,1.0,65.0,22.0,55.0
2019-02-03,1.0,1.0,63.0,21.0,51.0
2019-02-10,1.0,1.0,63.0,20.0,46.0
2019-02-17,1.0,1.0,61.0,22.0,50.0
2019-02-24,1.0,1.0,64.0,20.0,51.0
2019-03-03,1.0,1.0,61.0,21.0,47.0
2019-03-10,1.0,1.0,64.0,20.0,48.0
2019-03-17,1.0,1.0,64.0,22.0,52.0
2019-03-24,1.0,1.0,62.0,20.0,48.0
2019-03-31,1.0,1.0,60.0,22.0,49.0
2019-04-07,1.0,1.0,62.0,22.0,49.0
2019-04-14,1.0,1.0,62.0,22.0,48.0
2019-04-21,1.0,1.0,64.0,22.0,49.0
2019-04-28,1.0,1.0,65.0,25.0,53.0
2019-05-05,1.0,1.0,66.0,24.0,53.0
2019-05-12,1.0,1.0,66.0,22.0,53.0
2019-05-19,1.0,1.0,67.0,26.0,54.0
2019-05-26,1.0,1.0,66.0,27.0,52.0
2019-06-02,1.0,1.0,76.0,31.0,58.0
2019-06-09,1.0,1.0,71.0,31.0,54.0
2019-06-16,1.0,1.0,80.0,33.0,57.0
2019-06-23,1.0,1.0,77.0,33.0,57.0
2019-06-30,1.0,1.0,52.0,25.0,45.0
2019-07-07,1.0,1.0,72.0,31.0,56.0
2019-07-14,1.0,1.0,69.0,27.0,57.0
2019-07-21,1.0,1.0,69.0,29.0,56.0
2019-07-28,1.0,1.0,66.0,29.0,56.0
2019-08-04,1.0,1.0,69.0,29.0,58.0
2019-08-11,1.0,1.0,73.0,31.0,56.0
2019-08-18,1.0,1.0,73.0,34.0,58.0
2019-08-25,1.0,1.0,70.0,28.0,50.0
2019-09-01,1.0,1.0,60.0,26.0,50.0
2019-09-08,1.0,1.0,71.0,26.0,55.0
2019-09-15,1.0,1.0,69.0,27.0,52.0
2019-09-22,1.0,1.0,72.0,29.0,54.0
2019-09-29,1.0,1.0,73.0,27.0,53.0
2019-10-06,1.0,1.0,68.0,25.0,51.0
2019-10-13,1.0,1.0,66.0,27.0,49.0
2019-10-20,1.0,1.0,66.0,26.0,50.0
2019-10-27,1.0,1.0,63.0,24.0,47.0
2019-11-03,1.0,1.0,68.0,29.0,52.0
2019-11-10,1.0,1.0,64.0,27.0,50.0
2019-11-17,1.0,1.0,66.0,28.0,46.0
2019-11-24,1.0,1.0,42.0,19.0,33.0
2019-12-01,1.0,1.0,60.0,26.0,44.0
2019-12-08,1.0,1.0,58.0,24.0,46.0
2019-12-15,1.0,1.0,56.0,22.0,40.0
2019-12-22,1.0,1.0,30.0,20.0,34.0
2019-12-29,1.0,1.0,41.0,29.0,45.0
2020-01-05,1.0,1.0,67.0,35.0,57.0
2020-01-12,1.0,1.0,70.0,35.0,54.0
2020-01-19,1.0,1.0,67.0,31.0,55.0
2020-01-26,1.0,1.0,67.0,31.0,50.0
2020-02-02,1.0,1.0,71.0,29.0,52.0
2020-02-09,1.0,1.0,69.0,27.0,50.0
2020-02-16,1.0,1.0,69.0,30.0,51.0
2020-02-23,1.0,1.0,69.0,28.0,51.0
2020-03-01,1.0,1.0,65.0,27.0,48.0
2020-03-08,2.0,1.0,59.0,24.0,43.0
2020-03-15,26.0,2.0,48.0,22.0,33.0
2020-03-22,31.0,2.0,55.0,20.0,35.0
2020-03-29,30.0,2.0,54.0,18.0,30.0
2020-04-05,21.0,2.0,58.0,16.0,30.0
2020-04-12,19.0,2.0,58.0,16.0,28.0
2020-04-19,17.0,2.0,56.0,16.0,28.0
2020-04-26,15.0,2.0,57.0,17.0,28.0
2020-05-03,12.0,2.0,61.0,19.0,32.0
2020-05-10,13.0,2.0,62.0,18.0,33.0
2020-05-17,11.0,2.0,61.0,21.0,34.0
2020-05-24,11.0,1.0,58.0,23.0,35.0
2020-05-31,9.0,1.0,58.0,22.0,34.0
2020-06-07,9.0,2.0,65.0,29.0,40.0
2020-06-14,9.0,2.0,64.0,31.0,39.0
2020-06-21,10.0,2.0,64.0,30.0,39.0
2020-06-28,12.0,1.0,59.0,27.0,36.0
2020-07-05,11.0,1.0,61.0,29.0,39.0
2020-07-12,12.0,1.0,62.0,26.0,38.0
2020-07-19,13.0,1.0,67.0,25.0,39.0
2020-07-26,17.0,2.0,63.0,26.0,39.0
2020-08-02,24.0,1.0,63.0,29.0,40.0
2020-08-09,15.0,1.0,63.0,25.0,39.0
2020-08-16,12.0,1.0,59.0,24.0,38.0
2020-08-23,11.0,1.0,58.0,24.0,38.0
2020-08-30,9.0,1.0,60.0,26.0,39.0
2020-09-06,10.0,1.0,52.0,24.0,35.0
2020-09-13,9.0,1.0,57.0,27.0,36.0
2020-09-20,7.0,1.0,57.0,25.0,39.0
2020-09-27,6.0,1.0,48.0,25.0,38.0
2020-10-04,6.0,1.0,52.0,26.0,40.0
2020-10-11,6.0,1.0,44.0,26.0,41.0
2020-10-18,5.0,1.0,43.0,28.0,39.0
2020-10-25,5.0,1.0,43.0,24.0,37.0
2020-11-01,4.0,1.0,33.0,20.0,34.0
2020-11-08,4.0,1.0,44.0,25.0,38.0
2020-11-15,5.0,1.0,45.0,28.0,40.0
2020-11-22,4.0,1.0,29.0,21.0,28.0
2020-11-29,5.0,1.0,42.0,28.0,36.0
2020-12-06,6.0,1.0,41.0,26.0,36.0
2020-12-13,6.0,1.0,40.0,23.0,34.0
2020-12-20,9.0,1.0,27.0,20.0,24.0
2020-12-27,14.0,1.0,26.0,24.0,30.0
2021-01-03,13.0,1.0,41.0,31.0,41.0
2021-01-10,10.0,1.0,44.0,29.0,39.0
2021-01-17,7.0,1.0,41.0,27.0,36.0
2021-01-24,7.0,1.0,44.0,25.0,40.0
2021-01-31,6.0,1.0,45.0,25.0,40.0
2021-02-07,5.0,1.0,42.0,25.0,39.0
2021-02-14,4.0,1.0,42.0,22.0,40.0
2021-02-21,5.0,1.0,50.0,26.0,41.0
2021-02-28,5.0,1.0,44.0,25.0,41.0
2021-03-07,8.0,1.0,43.0,23.0,39.0
2021-03-14,6.0,1.0,43.0,21.0,34.0
2021-03-21,6.0,1.0,43.0,21.0,38.0
2021-03-28,5.0,1.0,44.0,22.0,35.0
2021-04-04,5.0,1.0,53.0,22.0,39.0
2021-04-11,5.0,1.0,53.0,21.0,37.0
2021-04-18,4.0,1.0,44.0,22.0,39.0
2021-04-25,4.0,1.0,43.0,24.0,39.0
2021-05-02,5.0,1.0,46.0,24.0,39.0
2021-05-09,5.0,1.0,46.0,23.0,42.0
2021-05-16,4.0,1.0,47.0,25.0,41.0
2021-05-23,4.0,1.0,46.0,27.0,40.0
2021-05-30,3.0,1.0,42.0,28.0,41.0
2021-06-06,3.0,1.0,44.0,27.0,43.0
2021-06-13,4.0,1.0,44.0,30.0,44.0
2021-06-20,3.0,1.0,46.0,30.0,45.0
2021-06-27,3.0,1.0,46.0,28.0,46.0
2021-07-04,3.0,1.0,42.0,28.0,43.0
2021-07-11,3.0,1.0,49.0,30.0,47.0
2021-07-18,3.0,1.0,44.0,27.0,44.0
2021-07-25,3.0,1.0,43.0,29.0,44.0
2021-08-01,4.0,1.0,44.0,29.0,44.0
2021-08-08,4.0,1.0,43.0,30.0,47.0
2021-08-15,4.0,1.0,46.0,30.0,45.0
2021-08-22,4.0,1.0,46.0,30.0,47.0
2021-08-29,4.0,1.0,44.0,29.0,46.0
2021-09-05,5.0,1.0,41.0,30.0,45.0
2021-09-12,3.0,1.0,46.0,29.0,47.0
2021-09-19,3.0,1.0,45.0,28.0,47.0
2021-09-26,2.0,1.0,45.0,26.0,47.0
2021-10-03,2.0,1.0,46.0,27.0,47.0
2021-10-10,2.0,1.0,44.0,27.0,46.0
2021-10-17,2.0,1.0,45.0,26.0,46.0
2021-10-24,2.0,1.0,43.0,26.0,44.0
2021-10-31,2.0,1.0,46.0,26.0,43.0
2021-11-07,1.0,1.0,45.0,25.0,44.0
2021-11-14,2.0,1.0,47.0,25.0,43.0
2021-11-21,1.0,1.0,31.0,21.0,30.0
2021-11-28,1.0,1.0,44.0,27.0,45.0
2021-12-05,1.0,1.0,44.0,25.0,44.0
2021-12-12,1.0,1.0,45.0,23.0,41.0
2021-12-19,1.0,1.0,35.0,20.0,31.0
2021-12-26,1.0,1.0,30.0,24.0,38.0
2022-01-02,2.0,1.0,60.0,29.0,52.0
2022-01-09,2.0,1.0,62.0,27.0,48.0
2022-01-16,2.0,1.0,59.0,26.0,49.0
2022-01-23,2.0,1.0,65.0,27.0,51.0
2022-01-30,2.0,1.0,67.0,26.0,51.0
2022-02-06,1.0,2.0,67.0,26.0,48.0
2022-02-13,1.0,5.0,70.0,27.0,47.0
2022-02-20,1.0,8.0,65.0,26.0,47.0
2022-02-27,1.0,6.0,69.0,31.0,52.0
2022-03-06,1.0,6.0,71.0,29.0,52.0
2022-03-13,1.0,6.0,68.0,28.0,48.0
2022-03-20,1.0,7.0,71.0,27.0,49.0
2022-03-27,1.0,8.0,77.0,26.0,49.0
2022-04-03,1.0,13.0,82.0,28.0,48.0
2022-04-10,2.0,14.0,78.0,24.0,48.0
2022-04-17,1.0,11.0,79.0,25.0,50.0
2022-04-24,1.0,8.0,78.0,26.0,49.0
2022-05-01,1.0,7.0,78.0,26.0,49.0
2022-05-08,1.0,6.0,81.0,25.0,48.0
2022-05-15,1.0,5.0,78.0,26.0,51.0
2022-05-22,1.0,5.0,71.0,26.0,49.0
2022-05-29,1.0,5.0,68.0,28.0,48.0
2022-06-05,1.0,5.0,80.0,30.0,52.0
2022-06-12,1.0,5.0,78.0,27.0,53.0
2022-06-19,1.0,5.0,74.0,31.0,53.0
2022-06-26,1.0,5.0,76.0,31.0,54.0
2022-07-03,1.0,4.0,69.0,29.0,52.0
2022-07-10,1.0,6.0,96.0,31.0,54.0
2022-07-17,1.0,7.0,100.0,29.0,56.0
2022-07-24,1.0,5.0,79.0,29.0,55.0
2022-07-31,1.0,5.0,78.0,27.0,55.0
2022-08-07,1.0,6.0,81.0,29.0,54.0
2022-08-14,1.0,6.0,78.0,29.0,56.0
2022-08-21,1.0,5.0,79.0,29.0,54.0
2022-08-28,1.0,5.0,73.0,27.0,51.0
2022-09-04,1.0,4.0,65.0,24.0,49.0
2022-09-11,1.0,6.0,77.0,26.0,55.0
2022-09-18,1.0,4.0,78.0,24.0,55.0
2022-09-25,1.0,4.0,73.0,24.0,51.0
2022-10-02,1.0,3.0,74.0,25.0,52.0
2022-10-09,1.0,3.0,71.0,23.0,51.0
2022-10-16,1.0,3.0,71.0,23.0,50.0
2022-10-23,1.0,4.0,74.0,20.0,47.0
2022-10-30,1.0,5.0,73.0,22.0,45.0
2022-11-06,1.0,5.0,73.0,22.0,49.0
2022-11-13,1.0,4.0,76.0,22.0,50.0
2022-11-20,1.0,3.0,47.0,18.0,36.0
2022-11-27,1.0,3.0,65.0,22.0,46.0
2022-12-04,1.0,3.0,67.0,22.0,46.0
2022-12-11,1.0,4.0,65.0,21.0,44.0
2022-12-18,1.0,3.0,54.0,20.0,40.0
2022-12-25,1.0,4.0,43.0,23.0,44.0
2023-01-01,1.1153846153846154,4.878504672897197,65.82880794701987,29.817511520737327,54.49020544672719
2023-01-08,1.1153846153846154,6.098130841121496,78.24933774834436,31.05990783410138,58.20544672718586
2023-01-15,1.1153846153846154,6.098130841121496,74.52317880794702,31.05990783410138,58.20544672718586
2023-01-22,1.1153846153846154,4.878504672897197,85.70165562913907,29.817511520737327,59.44386048733875
2023-01-29,1.1153846153846154,4.878504672897197,81.97549668874171,29.817511520737327,55.728619206880076
2023-02-05,1.1153846153846154,3.6588785046728978,80.73344370860927,24.847926267281103,54.49020544672719
2023-02-12,1.1153846153846154,3.6588785046728978,84.45960264900661,23.60552995391705,52.013377926421406
2023-02-19,1.1153846153846154,4.878504672897197,74.52317880794702,29.817511520737327,54.49020544672719
2023-02-26,1.1153846153846154,4.878504672897197,78.24933774834436,26.09032258064516,54.49020544672719
2023-03-05,1.1153846153846154,3.6588785046728978,75.76523178807946,26.09032258064516,55.728619206880076
2023-03-12,1.1153846153846154,3.6588785046728978,72.03907284768212,24.847926267281103,55.728619206880076
2023-03-19,1.1153846153846154,3.6588785046728978,77.00728476821192,26.09032258064516,58.20544672718586
2023-03-26,1.1153846153846154,3.6588785046728978,78.24933774834436,26.09032258064516,54.49020544672719
2023-04-02,1.1153846153846154,3.6588785046728978,73.28112582781456,24.847926267281103,55.728619206880076
2023-04-09,1.1153846153846154,3.6588785046728978,77.00728476821192,26.09032258064516,58.20544672718586
2023-04-16,1.1153846153846154,3.6588785046728978,73.28112582781456,26.09032258064516,56.96703296703297
2023-04-23,1.1153846153846154,3.6588785046728978,75.76523178807946,26.09032258064516,55.728619206880076
2023-04-30,1.1153846153846154,3.6588785046728978,72.03907284768212,26.09032258064516,55.728619206880076
2023-05-07,1.1153846153846154,3.6588785046728978,73.28112582781456,26.09032258064516,56.96703296703297
2023-05-14,1.1153846153846154,3.6588785046728978,73.28112582781456,29.817511520737327,59.44386048733875
2023-05-21,1.1153846153846154,3.6588785046728978,74.52317880794702,29.817511520737327,60.68227424749164
2023-05-28,1.1153846153846154,3.6588785046728978,67.07086092715231,32.302304147465435,59.44386048733875
2023-06-04,1.1153846153846154,3.6588785046728978,75.76523178807946,34.78709677419354,59.44386048733875
2023-06-11,1.1153846153846154,3.6588785046728978,74.52317880794702,32.302304147465435,63.159101767797424
2023-06-18,1.1153846153846154,3.6588785046728978,70.79701986754966,32.302304147465435,61.92068800764453
2023-06-25,2.230769230769231,2.4392523364485985,74.52317880794702,33.54470046082949,63.159101767797424
2023-07-02,1.1153846153846154,3.6588785046728978,60.860596026490065,28.57511520737327,56.96703296703297
2023-07-09,1.1153846153846154,3.6588785046728978,77.00728476821192,29.817511520737327,61.92068800764453
2023-07-16,1.1153846153846154,3.6588785046728978,75.76523178807946,31.05990783410138,58.20544672718586
2023-07-23,1.1153846153846154,3.6588785046728978,73.28112582781456,29.817511520737327,56.96703296703297
2023-07-30,1.1153846153846154,2.4392523364485985,78.24933774834436,28.57511520737327,56.96703296703297
2023-08-06,1.1153846153846154,2.4392523364485985,74.52317880794702,28.57511520737327,58.20544672718586
2023-08-13,1.1153846153846154,2.4392523364485985,73.28112582781456,32.302304147465435,56.96703296703297
2023-08-20,1.1153846153846154,2.4392523364485985,73.28112582781456,27.332718894009215,54.49020544672719
2023-08-27,1.1153846153846154,2.4392523364485985,75.76523178807946,28.57511520737327,53.25179168657429
2023-09-03,1.1153846153846154,2.4392523364485985,67.07086092715231,27.332718894009215,50.77496416626852
2023-09-10,1.1153846153846154,2.4392523364485985,73.28112582781456,27.332718894009215,54.49020544672719
2023-09-17,1.1153846153846154,2.4392523364485985,70.79701986754966,24.847926267281103,54.49020544672719
2023-09-24,1.1153846153846154,2.4392523364485985,73.28112582781456,27.332718894009215,55.728619206880076
2023-10-01,1.1153846153846154,2.4392523364485985,73.28112582781456,27.332718894009215,52.013377926421406
2023-10-08,1.1153846153846154,2.4392523364485985,72.03907284768212,24.847926267281103,48.298136645962735
2023-10-15,1.1153846153846154,2.4392523364485985,75.76523178807946,24.847926267281103,54.49020544672719
2023-10-22,1.1153846153846154,2.4392523364485985,72.03907284768212,23.60552995391705,50.77496416626852
2023-10-29,1.1153846153846154,2.4392523364485985,70.79701986754966,24.847926267281103,50.77496416626852
2023-11-05,1.1153846153846154,2.4392523364485985,64.58675496688741,27.332718894009215,52.013377926421406
2023-11-12,1.1153846153846154,2.4392523364485985,67.07086092715231,24.847926267281103,48.298136645962735
2023-11-19,1.1153846153846154,2.4392523364485985,47.19801324503311,19.878341013824883,37.15241280458672
2023-11-26,1.1153846153846154,2.4392523364485985,64.58675496688741,26.09032258064516,48.298136645962735
