date,unemployment benefits,file for unemployment,how to file unemployment,laid off,severance,isPartial
2018-01-01,2,2,1,1,2,False
2018-02-01,2,1,1,1,2,False
2018-03-01,2,1,1,1,2,False
2018-04-01,2,1,1,1,2,False
2018-05-01,2,1,0,1,2,False
2018-06-01,2,1,1,1,2,False
2018-07-01,2,1,1,1,2,False
2018-08-01,2,1,0,1,2,False
2018-09-01,2,1,1,1,2,False
2018-10-01,2,1,1,1,2,False
2018-11-01,2,1,1,1,2,False
2018-12-01,2,1,1,1,2,False
2019-01-01,2,2,1,1,2,False
2019-02-01,2,1,1,1,2,False
2019-03-01,2,1,1,1,2,False
2019-04-01,2,1,1,1,2,False
2019-05-01,2,1,1,1,2,False
2019-06-01,2,1,1,1,2,False
2019-07-01,2,1,1,1,2,False
2019-08-01,2,1,1,1,2,False
2019-09-01,2,1,0,1,2,False
2019-10-01,2,1,1,1,2,False
2019-11-01,2,1,0,1,2,False
2019-12-01,2,1,0,1,2,False
2020-01-01,2,1,1,1,2,False
2020-02-01,2,1,1,1,2,False
2020-03-01,27,34,14,15,3,False
2020-04-01,100,48,16,15,3,False
2020-05-01,40,16,6,4,3,False
2020-06-01,29,11,4,3,3,False
2020-07-01,31,10,4,3,3,False
2020-08-01,34,5,2,2,3,False
2020-09-01,21,4,1,2,2,False
2020-10-01,14,4,1,3,3,False
2020-11-01,10,3,1,2,2,False
2020-12-01,18,4,1,1,2,False
2021-01-01,19,5,2,1,2,False
2021-02-01,15,4,2,1,2,False
2021-03-01,17,4,2,1,2,False
2021-04-01,14,4,2,1,2,False
2021-05-01,17,4,2,1,2,False
2021-06-01,14,3,1,1,2,False
2021-07-01,12,3,1,1,2,False
2021-08-01,12,3,1,1,2,False
2021-09-01,12,2,1,1,2,False
2021-10-01,5,1,1,1,2,False
2021-11-01,4,1,0,1,2,False
2021-12-01,4,1,0,1,2,False
2022-01-01,4,2,1,1,2,False
2022-02-01,4,1,1,1,8,False
2022-03-01,4,1,1,1,10,False
2022-04-01,3,1,1,1,17,False
2022-05-01,3,1,1,1,9,False
2022-06-01,3,1,1,1,8,False
2022-07-01,4,2,1,1,9,False
2022-08-01,3,2,1,1,10,False
2022-09-01,3,1,1,1,8,False
2022-10-01,4,2,1,1,5,False
2022-11-01,3,1,1,2,6,False
2022-12-01,4,1,1,1,7,False
2023-01-01,4,2,1,2,8,False
2023-02-01,4,2,1,2,7,False
2023-03-01,4,1,1,2,7,False
2023-04-01,4,1,1,2,6,False
2023-05-01,4,2,1,1,6,False
2023-06-01,4,2,1,2,6,False
2023-07-01,5,2,1,2,6,False
2023-08-01,5,2,1,2,5,False
2023-09-01,4,1,1,2,5,False
2023-10-01,4,2,1,2,5,False
2023-11-01,4,1,1,2,5,False
2023-12-01,4,1,1,1,5,False
2024-01-01,4,2,1,2,5,False
2024-02-01,4,2,1,2,5,False
2024-03-01,4,1,1,2,5,False
2024-04-01,4,2,1,2,6,False
2024-05-01,4,1,1,2,6,False
2024-06-01,4,2,1,2,7,False
2024-07-01,4,2,1,2,7,False
2024-08-01,4,2,1,2,6,False
2024-09-01,3,2,1,2,5,False
2024-10-01,4,2,1,2,5,False
2024-11-01,3,1,0,2,6,False
2024-12-01,3,1,0,2,9,False
2025-01-01,4,2,1,2,47,False
2025-02-01,4,2,1,5,64,False
2025-03-01,4,2,1,3,83,False
2025-04-01,4,2,1,3,27,False
2025-05-01,4,2,1,2,17,False
2025-06-01,4,2,1,2,13,False
2025-07-01,4,2,1,2,13,False
2025-08-01,5,2,1,2,12,False
2025-09-01,4,2,1,2,13,False
2025-10-01,4,2,1,3,9,False
2025-11-01,4,2,1,3,9,False
2025-12-01,5,2,1,2,11,False
2026-01-01,6,2,1,2,11,False
2026-02-01,5,2,1,2,11,False
2026-03-01,5,2,1,3,10,False
2026-04-01,4,2,1,3,9,False
