date,unemployment benefits,severance,linkedin,jobs near me,indeed
2017-12-31,1.0,0.0,31.0,18.0,67.0
2018-01-07,1.0,1.0,36.0,21.0,78.0
2018-01-14,1.0,1.0,34.0,19.0,74.0
2018-01-21,1.0,1.0,36.0,19.0,72.0
2018-01-28,1.0,1.0,35.0,18.0,71.0
2018-02-04,1.0,1.0,34.0,17.0,68.0
2018-02-11,1.0,1.0,34.0,16.0,64.0
2018-02-18,1.0,1.0,35.0,17.0,65.0
2018-02-25,1.0,1.0,36.0,17.0,63.0
2018-03-04,1.0,1.0,34.0,17.0,68.0
2018-03-11,0.0,1.0,35.0,18.0,65.0
2018-03-18,1.0,1.0,36.0,18.0,72.0
2018-03-25,1.0,1.0,33.0,18.0,70.0
2018-04-01,1.0,1.0,34.0,18.0,72.0
2018-04-08,1.0,1.0,36.0,19.0,72.0
2018-04-15,1.0,1.0,35.0,19.0,72.0
2018-04-22,1.0,1.0,36.0,18.0,72.0
2018-04-29,1.0,1.0,35.0,20.0,76.0
2018-05-06,1.0,1.0,38.0,23.0,72.0
2018-05-13,1.0,1.0,37.0,23.0,78.0
2018-05-20,1.0,1.0,34.0,25.0,83.0
2018-05-27,1.0,1.0,36.0,27.0,80.0
2018-06-03,1.0,1.0,37.0,29.0,86.0
2018-06-10,1.0,1.0,37.0,30.0,89.0
2018-06-17,1.0,1.0,34.0,27.0,86.0
2018-06-24,1.0,1.0,34.0,28.0,88.0
2018-07-01,1.0,1.0,29.0,26.0,82.0
2018-07-08,1.0,1.0,37.0,30.0,87.0
2018-07-15,1.0,1.0,34.0,28.0,88.0
2018-07-22,1.0,1.0,40.0,28.0,88.0
2018-07-29,1.0,1.0,38.0,28.0,89.0
2018-08-05,1.0,1.0,36.0,30.0,92.0
2018-08-12,1.0,1.0,35.0,31.0,87.0
2018-08-19,1.0,1.0,35.0,31.0,87.0
2018-08-26,1.0,1.0,33.0,29.0,84.0
2018-09-02,1.0,1.0,31.0,28.0,80.0
2018-09-09,0.0,1.0,35.0,30.0,83.0
2018-09-16,1.0,0.0,35.0,30.0,85.0
2018-09-23,1.0,1.0,36.0,30.0,85.0
2018-09-30,1.0,1.0,35.0,30.0,87.0
2018-10-07,1.0,1.0,32.0,27.0,76.0
2018-10-14,1.0,1.0,34.0,30.0,80.0
2018-10-21,1.0,1.0,36.0,28.0,79.0
2018-10-28,1.0,1.0,32.0,26.0,74.0
2018-11-04,1.0,1.0,31.0,29.0,79.0
2018-11-11,1.0,1.0,32.0,27.0,79.0
