date,unemployment benefits,file for unemployment,how to file unemployment,laid off,severance,isPartial
2018-01-01,3,1,0,1,1,False
2018-02-01,3,1,0,1,1,False
2018-03-01,2,1,0,1,1,False
2018-04-01,2,1,0,1,1,False
2018-05-01,2,1,0,1,1,False
2018-06-01,3,1,0,1,1,False
2018-07-01,3,1,0,1,1,False
2018-08-01,2,1,0,1,2,False
2018-09-01,2,1,0,1,1,False
2018-10-01,4,1,0,1,1,False
2018-11-01,2,1,0,1,1,False
2018-12-01,2,1,0,1,1,False
2019-01-01,3,1,0,1,1,False
2019-02-01,3,1,0,1,2,False
2019-03-01,3,1,0,1,1,False
2019-04-01,3,1,0,1,1,False
2019-05-01,3,1,0,1,1,False
2019-06-01,3,1,0,1,1,False
2019-07-01,3,1,1,1,1,False
2019-08-01,3,1,0,1,2,False
2019-09-01,3,1,0,1,1,False
2019-10-01,3,1,0,1,1,False
2019-11-01,3,1,0,1,1,False
2019-12-01,3,1,0,1,1,False
2020-01-01,3,1,0,1,2,False
2020-02-01,3,1,0,1,1,False
2020-03-01,30,14,6,7,2,False
2020-04-01,100,19,7,7,2,False
2020-05-01,48,8,3,3,2,False
2020-06-01,54,7,2,2,2,False
2020-07-01,59,6,2,2,2,False
2020-08-01,56,3,1,1,2,False
2020-09-01,46,3,1,1,1,False
2020-10-01,40,2,1,1,2,False
2020-11-01,34,2,1,1,1,False
2020-12-01,47,2,1,1,1,False
2021-01-01,47,3,1,1,1,False
2021-02-01,39,2,1,1,1,False
2021-03-01,40,3,1,1,1,False
2021-04-01,30,2,1,1,1,False
2021-05-01,32,2,1,1,1,False
2021-06-01,25,1,0,1,1,False
2021-07-01,23,1,0,1,1,False
2021-08-01,16,1,0,1,1,False
2021-09-01,12,1,0,0,1,False
2021-10-01,9,1,0,1,1,False
2021-11-01,8,1,0,0,1,False
2021-12-01,7,1,0,1,1,False
2022-01-01,9,1,1,1,1,False
2022-02-01,6,1,0,1,5,False
2022-03-01,6,1,0,1,6,False
2022-04-01,6,1,0,1,10,False
2022-05-01,6,1,0,1,6,False
2022-06-01,7,1,0,1,5,False
2022-07-01,7,1,0,1,6,False
2022-08-01,7,1,0,1,5,False
2022-09-01,6,1,0,1,5,False
2022-10-01,6,1,0,1,3,False
2022-11-01,7,1,0,1,4,False
2022-12-01,7,1,0,1,4,False
2023-01-01,8,1,0,2,6,False
2023-02-01,7,1,0,1,5,False
2023-03-01,7,1,0,1,4,False
2023-04-01,7,1,0,1,4,False
2023-05-01,8,1,0,1,4,False
2023-06-01,9,1,0,1,4,False
2023-07-01,9,1,0,1,4,False
2023-08-01,9,1,0,1,4,False
2023-09-01,7,1,0,1,3,False
2023-10-01,8,1,0,1,3,False
2023-11-01,7,1,0,1,3,False
2023-12-01,7,1,0,1,3,False
2024-01-01,8,1,0,1,4,False
2024-02-01,6,1,0,2,3,False
2024-03-01,6,1,0,1,3,False
2024-04-01,6,1,0,2,4,False
2024-05-01,6,1,0,1,4,False
2024-06-01,6,1,0,1,4,False
2024-07-01,9,1,0,1,4,False
2024-08-01,7,1,0,1,4,False
2024-09-01,6,1,0,1,3,False
2024-10-01,6,1,0,1,4,False
2024-11-01,5,1,0,1,4,False
2024-12-01,6,1,0,1,6,False
2025-01-01,6,1,1,1,28,False
2025-02-01,6,1,1,3,38,False
2025-03-01,6,1,0,2,52,False
2025-04-01,6,1,0,2,18,False
2025-05-01,6,1,0,2,10,False
2025-06-01,7,1,0,1,8,False
2025-07-01,8,1,0,2,8,False
2025-08-01,7,1,0,1,7,False
2025-09-01,7,1,0,2,7,False
2025-10-01,7,1,0,2,6,False
2025-11-01,7,1,0,1,6,False
2025-12-01,8,1,0,1,6,False
2026-01-01,8,1,1,1,7,False
2026-02-01,7,1,1,2,6,False
2026-03-01,7,1,0,2,6,False
2026-04-01,6,1,0,2,5,False
