date,unemployment benefits,severance,linkedin,jobs near me,indeed
2017-12-31,3.0,1.0,36.0,22.0,73.0
2018-01-07,3.0,1.0,43.0,26.0,79.0
2018-01-14,3.0,1.0,41.0,22.0,72.0
2018-01-21,2.0,1.0,44.0,21.0,76.0
2018-01-28,2.0,1.0,44.0,21.0,71.0
2018-02-04,2.0,1.0,40.0,20.0,68.0
2018-02-11,2.0,1.0,40.0,18.0,67.0
2018-02-18,2.0,1.0,41.0,18.0,63.0
2018-02-25,2.0,1.0,42.0,20.0,65.0
2018-03-04,1.0,1.0,42.0,20.0,66.0
2018-03-11,1.0,1.0,40.0,18.0,62.0
2018-03-18,2.0,1.0,43.0,21.0,69.0
2018-03-25,2.0,1.0,40.0,19.0,69.0
2018-04-01,2.0,1.0,44.0,22.0,74.0
2018-04-08,1.0,1.0,41.0,22.0,72.0
2018-04-15,2.0,1.0,42.0,21.0,71.0
2018-04-22,2.0,1.0,41.0,22.0,69.0
2018-04-29,2.0,1.0,41.0,22.0,69.0
2018-05-06,1.0,1.0,39.0,23.0,72.0
2018-05-13,2.0,1.0,42.0,27.0,79.0
2018-05-20,2.0,1.0,40.0,27.0,78.0
2018-05-27,2.0,1.0,38.0,30.0,79.0
2018-06-03,2.0,1.0,43.0,32.0,85.0
2018-06-10,2.0,1.0,42.0,30.0,84.0
2018-06-17,2.0,1.0,42.0,29.0,87.0
2018-06-24,2.0,1.0,45.0,30.0,85.0
2018-07-01,2.0,1.0,33.0,28.0,73.0
2018-07-08,2.0,1.0,43.0,30.0,89.0
2018-07-15,2.0,1.0,39.0,30.0,84.0
2018-07-22,2.0,1.0,44.0,29.0,87.0
2018-07-29,2.0,1.0,42.0,30.0,84.0
2018-08-05,2.0,1.0,42.0,34.0,84.0
2018-08-12,2.0,1.0,41.0,30.0,85.0
2018-08-19,2.0,1.0,41.0,32.0,86.0
2018-08-26,2.0,1.0,41.0,29.0,78.0
2018-09-02,1.0,1.0,37.0,28.0,75.0
2018-09-09,2.0,1.0,40.0,28.0,75.0
2018-09-16,1.0,1.0,40.0,32.0,76.0
2018-09-23,1.0,1.0,39.0,31.0,75.0
2018-09-30,3.0,1.0,38.0,30.0,75.0
2018-10-07,4.0,1.0,39.0,29.0,70.0
2018-10-14,2.0,1.0,38.0,26.0,70.0
2018-10-21,2.0,1.0,38.0,29.0,70.0
2018-10-28,2.0,1.0,38.0,28.0,69.0
2018-11-04,2.0,1.0,37.0,28.0,71.0
2018-11-11,2.0,1.0,37.0,25.0,67.0
2018-11-18,1.0,1.0,27.0,20.0,47.0
2018-11-25,2.0,1.0,35.0,29.0,69.0
2018-12-02,2.0,1.0,35.0,27.0,67.0
2018-12-09,2.0,1.0,35.0,27.0,68.0
2018-12-16,1.0,1.0,33.0,25.0,60.0
2018-12-23,1.0,1.0,22.0,23.0,54.0
2018-12-30,2.0,1.0,33.0,32.0,75.0
2019-01-06,2.0,1.0,42.0,35.0,88.0
2019-01-13,2.0,1.0,39.0,32.0,85.0
2019-01-20,2.0,1.0,42.0,35.0,82.0
2019-01-27,2.0,1.0,42.0,32.0,83.0
2019-02-03,2.0,1.0,43.0,28.0,76.0
2019-02-10,2.0,1.0,39.0,29.0,75.0
2019-02-17,2.0,1.0,38.0,30.0,74.0
2019-02-24,2.0,1.0,37.0,29.0,71.0
2019-03-03,2.0,1.0,37.0,29.0,73.0
2019-03-10,2.0,1.0,38.0,27.0,76.0
2019-03-17,2.0,1.0,37.0,32.0,77.0
2019-03-24,2.0,1.0,36.0,30.0,73.0
2019-03-31,2.0,1.0,34.0,29.0,75.0
2019-04-07,2.0,1.0,38.0,34.0,75.0
2019-04-14,2.0,1.0,36.0,32.0,75.0
2019-04-21,2.0,1.0,39.0,30.0,82.0
2019-04-28,2.0,1.0,40.0,34.0,80.0
2019-05-05,2.0,1.0,42.0,35.0,77.0
2019-05-12,2.0,1.0,41.0,37.0,85.0
2019-05-19,2.0,1.0,41.0,40.0,85.0
2019-05-26,2.0,1.0,41.0,40.0,82.0
2019-06-02,3.0,1.0,48.0,44.0,89.0
2019-06-09,2.0,1.0,44.0,41.0,88.0
2019-06-16,2.0,1.0,47.0,44.0,89.0
2019-06-23,3.0,1.0,47.0,43.0,87.0
2019-06-30,2.0,1.0,35.0,37.0,74.0
2019-07-07,3.0,1.0,44.0,42.0,86.0
2019-07-14,2.0,1.0,46.0,47.0,91.0
2019-07-21,2.0,1.0,42.0,42.0,93.0
2019-07-28,2.0,1.0,41.0,45.0,86.0
2019-08-04,2.0,1.0,44.0,44.0,85.0
2019-08-11,2.0,1.0,46.0,43.0,88.0
2019-08-18,2.0,1.0,48.0,44.0,92.0
2019-08-25,2.0,1.0,44.0,40.0,81.0
2019-09-01,2.0,1.0,38.0,39.0,79.0
2019-09-08,2.0,1.0,46.0,37.0,78.0
2019-09-15,2.0,1.0,43.0,37.0,80.0
2019-09-22,2.0,1.0,45.0,37.0,80.0
2019-09-29,2.0,1.0,44.0,38.0,82.0
